No,MatchID,Date,Patch,EventID,EventName,EventStage,Team1ID,Team2ID,Team1,Team2,Team1_MapScore,Team2_MapScore
1500,35446,2021-08-31 14:00:00,Patch 3.04,634,Knights Monthly Gauntlet: August,Playoffs: Quarterfinals,6144,5038,The Mafia,YFP Gaming,2,0
1502,34824,2021-08-31 13:00:00,Patch 3.04,641,GLA Baku Summer Cup 2021,Playoffs: Grand Final,2100,1341,GMT Esports,Team Singularity,2,0
1504,34934,2021-08-31 11:50:00,Patch 3.04,650,LVP Rising Series #3,Group Stage: Opening (D),673,1474,Team Finest,eSuba,1,0
1506,31425,2021-08-31 10:30:00,Patch 3.02,638,The Esports Club Gauntlet - Season 2,Group Stage: Group B,918,4829,Global Esports,Team Valor,1,2
1507,30871,2021-08-31 06:30:00,Patch 3.02,631,LPL Winter Cup Legends 2021,Group Stage: Round 5,6126,1405,Legacy Esports,Shadownet,2,0
1509,35474,2021-08-31 02:00:00,Patch 3.04,651,FGC Valorant Invitational,Play-In: Quarterfinals,908,4460,Tales of Eastern,Number One Player,2,1
1510,35444,2021-08-30 19:15:00,Patch 3.04,634,Knights Monthly Gauntlet: August,Playoffs: Round of 16,103,5890,Immortals,DIVIZE,1,2
1511,35439,2021-08-30 18:45:00,Patch 3.04,634,Knights Monthly Gauntlet: August,Playoffs: Round of 16,468,5038,Renegades,YFP Gaming,1,2
1512,35445,2021-08-30 18:45:00,Patch 3.04,634,Knights Monthly Gauntlet: August,Playoffs: Round of 16,4315,3944,Squirtle Squad,Teal Seam,2,0
1513,35438,2021-08-30 18:30:00,Patch 3.04,634,Knights Monthly Gauntlet: August,Playoffs: Round of 16,6144,5821,The Mafia,All Around Savants,2,1
1514,35440,2021-08-30 18:30:00,Patch 3.04,634,Knights Monthly Gauntlet: August,Playoffs: Round of 16,5839,3789,Time Out,1337,2,0
1515,35441,2021-08-30 18:15:00,Patch 3.04,634,Knights Monthly Gauntlet: August,Playoffs: Round of 16,470,2202,Complexity,Chobome Esports(OOKERS),2,0
1516,35442,2021-08-30 18:00:00,Patch 3.04,634,Knights Monthly Gauntlet: August,Playoffs: Round of 16,2350,2291,Soniqs,Ghost Gaming,1,2
1517,35443,2021-08-30 18:00:00,Patch 3.04,634,Knights Monthly Gauntlet: August,Playoffs: Round of 16,1615,6145,Knights,Zealous,2,1
1518,34862,2021-08-30 16:00:00,Patch 3.04,634,Knights Monthly Gauntlet: August,Group Stage: Decider (D),5890,4688,DIVIZE,Fenrir,2,1
1519,34872,2021-08-30 16:00:00,Patch 3.04,634,Knights Monthly Gauntlet: August,Group Stage: Decider (F),5923,5038,Big Baller Brand,YFP Gaming,1,2
1522,34855,2021-08-30 15:00:00,Patch 3.04,634,Knights Monthly Gauntlet: August,Group Stage: Winner's (C),103,3789,Immortals,1337,1,0
1523,34865,2021-08-30 15:00:00,Patch 3.04,634,Knights Monthly Gauntlet: August,Group Stage: Winner's (E),468,6145,Renegades,Zealous,1,0
1524,34870,2021-08-30 15:00:00,Patch 3.04,634,Knights Monthly Gauntlet: August,Group Stage: Winner's (F),1615,5923,Knights,Big Baller Brand,1,0
1525,34875,2021-08-30 15:00:00,Patch 3.04,634,Knights Monthly Gauntlet: August,Group Stage: Winner's (G),470,6146,Complexity,Team Rocket,1,0
1526,34880,2021-08-30 15:00:00,Patch 3.04,634,Knights Monthly Gauntlet: August,Group Stage: Winner's (H),4315,6148,Squirtle Squad,Project A,1,0
1527,34814,2021-08-30 14:40:00,Patch 3.04,616,ESA Open Fire All Stars,Playoffs: Quarterfinals,4669,4686,Digital Athletics,Fire Flux Esports,1,2
1528,34843,2021-08-30 14:00:00,Patch 3.04,634,Knights Monthly Gauntlet: August,Group Stage: Opening (A),2291,5832,Ghost Gaming,Zero MarksMen Black,1,0
1529,34853,2021-08-30 14:00:00,Patch 3.04,634,Knights Monthly Gauntlet: August,Group Stage: Opening (C),103,5039,Immortals,Team Volted,1,0
1530,34858,2021-08-30 14:00:00,Patch 3.04,634,Knights Monthly Gauntlet: August,Group Stage: Opening (D),5890,4529,DIVIZE,IlluZion,1,0
1531,34863,2021-08-30 14:00:00,Patch 3.04,634,Knights Monthly Gauntlet: August,Group Stage: Opening (E),468,4899,Renegades,Last Round Save,1,0
1532,34868,2021-08-30 14:00:00,Patch 3.04,634,Knights Monthly Gauntlet: August,Group Stage: Opening (F),1615,2588,Knights,HalfBliss,1,0
1534,34821,2021-08-30 11:00:00,Patch 3.04,641,GLA Baku Summer Cup 2021,Playoffs: Semifinals,2100,604,GMT Esports,Aim.Attack,2,0
